TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2021,3,29,20,0,17XX W KING EDWARD AVE,Shaughnessy,489470.9527,5455189.942
Mischief,2021,7,14,16,48,17XX WILLIAM ST,Grandview-Woodland,495026.9619,5457916.12
Mischief,2021,3,8,0,0,17XX WILLIAM ST,Grandview-Woodland,495028.3551,5457916.1
Mischief,2021,10,1,0,30,17XX WOODLAND DR,Grandview-Woodland,494649.2149,5457430.36
Mischief,2021,3,8,21,0,18XX ADANAC ST,Grandview-Woodland,495138.0413,5458315.398
Mischief,2021,1,11,7,9,18XX BEACH AVE,West End,489643.7271,5459365.154
Mischief,2021,4,14,22,34,18XX CLARK DR,Strathcona,494366.004,5457252.892
Mischief,2021,5,4,12,17,18XX COMMERCIAL DR,Grandview-Woodland,494926.7556,5457322.145
Mischief,2021,10,2,3,35,18XX COMMERCIAL DR,Grandview-Woodland,494926.7556,5457322.145
Mischief,2021,3,2,4,17,18XX COMMERCIAL DR,Grandview-Woodland,494935.7636,5457293.033
Mischief,2021,12,25,10,0,18XX COMMERCIAL DR,Grandview-Woodland,494935.7817,5457296.909
Mischief,2021,2,26,20,50,18XX COMMERCIAL DR,Grandview-Woodland,494935.8901,5457320.164
Mischief,2021,8,4,19,11,18XX CORNWALL AVE,Kitsilano,489305.8963,5457750.694
Mischief,2021,7,27,23,0,18XX CROWE ST,Mount Pleasant,491875.1021,5457294.406
Mischief,2021,4,17,17,13,18XX E 10TH AVE,Kensington-Cedar Cottage,495116.9742,5456511.197
Mischief,2021,3,25,16,0,18XX E 10TH AVE,Kensington-Cedar Cottage,495145.3175,5456520.142
Mischief,2021,4,23,7,15,18XX E 16TH AVE,Kensington-Cedar Cottage,495106.5924,5455941.628
Mischief,2021,4,1,0,0,18XX E 36TH AVE,Kensington-Cedar Cottage,495011.9469,5453861.406
Mischief,2021,4,19,23,0,18XX E 36TH AVE,Kensington-Cedar Cottage,495093.6753,5453868.964
Mischief,2021,10,22,7,34,18XX E 39TH AVE,Kensington-Cedar Cottage,495101.7934,5453532.351
Mischief,2021,4,5,23,0,18XX E 4TH AVE,Grandview-Woodland,495026.6611,5457144.144
Mischief,2021,10,12,21,0,18XX E 51ST AVE,Victoria-Fraserview,495083.5137,5452303.083
Mischief,2021,10,20,18,30,18XX E 53RD AVE,Victoria-Fraserview,495016.8329,5452123.233
Mischief,2021,10,29,22,20,18XX E 53RD AVE,Victoria-Fraserview,495023.5158,5452123.041
Mischief,2021,11,14,14,46,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.652
Mischief,2021,7,12,16,0,18XX E HASTINGS ST,Grandview-Woodland,495079.3488,5458717.612
Mischief,2021,7,21,18,43,18XX E HASTINGS ST,Grandview-Woodland,495079.3488,5458717.612
Mischief,2021,8,15,13,57,18XX E HASTINGS ST,Grandview-Woodland,495079.3488,5458717.612
Mischief,2021,7,2,1,0,18XX E HASTINGS ST,Grandview-Woodland,495213.7755,5458724.46
Mischief,2021,1,27,12,45,18XX E HASTINGS ST,Grandview-Woodland,495221.0383,5458715.191
Mischief,2021,2,26,21,30,18XX E PENDER ST,Grandview-Woodland,495041.5152,5458609.507
Mischief,2021,12,31,22,27,18XX E PENDER ST,Grandview-Woodland,495074.2654,5458609.127
Mischief,2021,12,15,7,59,18XX E PENDER ST,Grandview-Woodland,495079.4663,5458618.212
Mischief,2021,4,10,13,13,18XX FRANCES ST,Grandview-Woodland,495040.0119,5458508.031
Mischief,2021,1,8,16,0,18XX FRANCES ST,Grandview-Woodland,495156.7658,5458505.614
Mischief,2021,8,25,18,57,18XX FRANCES ST,Grandview-Woodland,495164.2522,5458514.605
Mischief,2021,1,1,4,0,18XX KINGSWAY AVE,Kensington-Cedar Cottage,495132.9392,5454793.356
Mischief,2021,9,28,17,0,18XX MAPLE ST,Kitsilano,489057.5638,5457394.327
Mischief,2021,5,14,0,0,18XX NELSON ST,West End,489841.7282,5459717.651
Mischief,2021,4,20,20,33,18XX POWELL ST,Grandview-Woodland,495217.1019,5459120.733
Mischief,2021,7,31,7,48,18XX QUEBEC ST,Mount Pleasant,492531.6815,5457363.199
Mischief,2021,11,22,18,0,18XX SPYGLASS PL,Fairview,491610.0218,5457429.349
Mischief,2021,8,24,2,50,18XX SPYGLASS PL,Fairview,491610.0641,5457430.671
Mischief,2021,6,6,3,10,18XX SPYGLASS PL,Fairview,491618.1342,5457395.976
Mischief,2021,7,21,12,0,18XX STAINSBURY AVE,Kensington-Cedar Cottage,495047.2255,5455512.979
Mischief,2021,1,4,1,37,18XX TRIUMPH ST,Grandview-Woodland,495046.8182,5458966.878
Mischief,2021,3,18,4,9,18XX VICTORIA DR,Grandview-Woodland,495218.7796,5457320.116
Mischief,2021,7,3,17,30,18XX W 15TH AVE,Kitsilano,489326.595,5456154.473
Mischief,2021,2,25,2,19,18XX W 1ST AVE,Kitsilano,489287.8542,5457554.176
Mischief,2021,5,7,18,0,18XX W 1ST AVE,Kitsilano,489322.4443,5457562.44
Mischief,2021,4,10,12,0,18XX W 1ST AVE,Kitsilano,489404.9394,5457560.235
Mischief,2021,1,13,15,30,18XX W 29TH AVE,Shaughnessy,489213.6082,5454761.156
Mischief,2021,9,19,14,0,18XX W 3RD AVE,Kitsilano,489324.1885,5457357.618
Mischief,2021,4,22,23,0,18XX W 4TH AVE,Kitsilano,489318.0653,5457257.447
Mischief,2021,2,6,13,50,18XX W 4TH AVE,Kitsilano,489396.1395,5457255.289
Mischief,2021,8,27,8,55,18XX W 5TH AVE,Kitsilano,489357.1737,5457170.892
Mischief,2021,3,2,10,24,18XX W 6TH AVE,Kitsilano,489250.8134,5457069.672
Mischief,2021,7,27,3,50,18XX W 6TH AVE,Kitsilano,489365.366,5457066.81
Mischief,2021,5,17,17,45,18XX W 7TH AVE,Kitsilano,489320.9574,5456974.022
Mischief,2021,12,18,4,0,18XX W BROADWAY AVE,Kitsilano,489247.162,5456789.86
Mischief,2021,1,5,17,0,18XX YEW ST,Kitsilano,488721.7026,5457407.863
Mischief,2021,3,2,11,0,18XX YORK AVE,Kitsilano,489310.6365,5457659.361
Mischief,2021,1,4,1,0,19XX BARCLAY ST,West End,489838.2824,5459862.494
Mischief,2021,3,7,9,0,19XX BARCLAY ST,West End,489874.9272,5459825.925
Mischief,2021,8,27,0,0,19XX BEACH AVE,West End,489589.5846,5459573.016
Mischief,2021,5,17,9,0,19XX BOUNDARY RD,Hastings-Sunrise,498272.3684,5457106.657
Mischief,2021,6,15,5,50,19XX BURRARD ST,Fairview,489412.663,5457353.991
Mischief,2021,11,29,15,0,19XX CHARLES ST,Grandview-Woodland,495233.5305,5457812.508
Mischief,2021,11,22,12,0,19XX COMMERCIAL DR,Grandview-Woodland,494925.6571,5457181.157
Mischief,2021,7,14,2,40,19XX CORNWALL AVE,Kitsilano,489151.754,5457763.915
Mischief,2021,5,24,2,0,19XX E 11TH AVE,Kensington-Cedar Cottage,495274.1243,5456403.597
Mischief,2021,6,3,8,0,19XX E 12TH AVE,Kensington-Cedar Cottage,495316.0847,5456304.484
Mischief,2021,2,17,10,0,19XX E 34TH AVE,Kensington-Cedar Cottage,495199.473,5454048.126
Mischief,2021,4,30,23,30,19XX E 35TH AVE,Kensington-Cedar Cottage,495179.4128,5453959.376
Mischief,2021,9,14,0,0,19XX E 36TH AVE,Kensington-Cedar Cottage,495225.7327,5453866.168
Mischief,2021,5,11,15,39,19XX E 39TH AVE,Kensington-Cedar Cottage,495213.4377,5453521.524
Mischief,2021,1,27,21,30,19XX E 4TH AVE,Grandview-Woodland,495226.5401,5457118.35
Mischief,2021,6,17,1,11,19XX E 51ST AVE,Victoria-Fraserview,495191.8467,5452300.773
Mischief,2021,9,10,16,30,19XX E 6TH AVE,Grandview-Woodland,495215.9847,5456917.994
Mischief,2021,5,15,6,30,19XX E BROADWAY AVE,Grandview-Woodland,495289.9597,5456619.75
Mischief,2021,10,15,5,30,19XX E GEORGIA ST,Grandview-Woodland,495230.0873,5458399.02
Mischief,2021,2,19,21,30,19XX E HASTINGS ST,Grandview-Woodland,495302.5705,5458713.763
Mischief,2021,4,26,0,0,19XX E HASTINGS ST,Grandview-Woodland,495302.5705,5458713.763
Mischief,2021,7,1,0,0,19XX E HASTINGS ST,Grandview-Woodland,495340.6687,5458722.24
Mischief,2021,8,14,5,2,19XX E HASTINGS ST,Grandview-Woodland,495340.6687,5458722.24
Mischief,2021,11,14,14,0,19XX E KENT AVE S,Victoria-Fraserview,495075.3134,5450535.261
Mischief,2021,7,5,9,15,19XX FRANKLIN ST,Grandview-Woodland,495300.4317,5458816.779
Mischief,2021,2,5,22,0,19XX GARDEN DR,Grandview-Woodland,495771.4355,5457152.005
Mischief,2021,6,7,23,30,19XX GARDEN DR,Grandview-Woodland,495781.2738,5457194.746
Mischief,2021,5,13,13,30,19XX GRAVELEY ST,Grandview-Woodland,495345.0686,5457528.077
Mischief,2021,11,25,20,0,19XX GRAVELEY ST,Grandview-Woodland,495345.0686,5457528.077
Mischief,2021,9,1,6,23,19XX HARO ST,West End,489930.1192,5459925.24
Mischief,2021,9,7,12,0,19XX HARO ST,West End,489962.284,5459893.175
Mischief,2021,7,2,21,4,19XX KINGSWAY AVE,Kensington-Cedar Cottage,495178.1249,5454760.975
Mischief,2021,12,21,14,46,19XX KINGSWAY AVE,Kensington-Cedar Cottage,495252.4036,5454718.419
Mischief,2021,12,2,20,39,19XX LARCH ST,Kitsilano,488201.2705,5457330.935
Mischief,2021,7,12,22,0,19XX MAIN ST,Mount Pleasant,492665.4509,5457187.412
Mischief,2021,6,18,17,30,19XX MAPLE ST,Kitsilano,489056.797,5457344.511
Mischief,2021,12,23,17,0,19XX MAPLE ST,Kitsilano,489056.797,5457344.511
Mischief,2021,7,16,12,59,19XX OGDEN AVE,Kitsilano,489247.4778,5458248.647
Mischief,2021,8,28,1,30,19XX OGDEN AVE,Kitsilano,489247.4778,5458248.647
Mischief,2021,10,23,11,15,19XX POWELL ST,Grandview-Woodland,495247.1226,5459117.76
Mischief,2021,10,24,5,0,19XX POWELL ST,Grandview-Woodland,495247.1226,5459117.76
Mischief,2021,8,6,2,40,19XX POWELL ST,Grandview-Woodland,495284.4892,5459118.023
Mischief,2021,10,5,20,34,19XX POWELL ST,Grandview-Woodland,495284.4892,5459118.023
Mischief,2021,11,30,10,0,19XX POWELL ST,Grandview-Woodland,495306.7811,5459127.324
Mischief,2021,6,10,14,30,19XX PRESTWICK DR,Victoria-Fraserview,495152.2858,5451495.073
Mischief,2021,7,24,17,0,19XX QUEBEC ST,Mount Pleasant,492518.2361,5457206.169
Mischief,2021,7,14,16,10,19XX QUEBEC ST,Mount Pleasant,492529.2713,5457275.552
Mischief,2021,8,21,22,0,19XX QUEBEC ST,Mount Pleasant,492529.2713,5457275.552
Mischief,2021,4,6,17,0,19XX RENFREW ST,Hastings-Sunrise,496784.3648,5457199.553
Mischief,2021,3,28,13,10,19XX ROBSON ST,West End,490028.1222,5459980.693
Mischief,2021,1,28,2,47,19XX TEMPLETON DR,Grandview-Woodland,495630.8042,5457213.433
Mischief,2021,6,7,18,0,19XX TRIUMPH ST,Grandview-Woodland,495354.4033,5459025.693
Mischief,2021,8,19,20,6,19XX UPLAND DR,Victoria-Fraserview,495186.3599,5451702.639
Mischief,2021,10,4,16,0,19XX VENABLES ST,Grandview-Woodland,495261.005,5458206.761
Mischief,2021,10,14,0,0,19XX VENABLES ST,Grandview-Woodland,495282.8,5458206.297
Mischief,2021,5,29,4,25,19XX VERNON DR,Strathcona,494267.3877,5457234.661
Mischief,2021,7,28,12,30,19XX W 10TH AVE,Kitsilano,489156.9435,5456686.037
Mischief,2021,9,1,18,0,19XX W 11TH AVE,Kitsilano,489167.5383,5456574.139
Mischief,2021,7,4,13,30,19XX W 12TH AVE,Kitsilano,489208.0591,5456474.067
Mischief,2021,3,27,1,0,19XX W 14TH AVE,Kitsilano,489103.0247,5456275.833
Mischief,2021,10,31,0,0,19XX W 18TH AVE,Shaughnessy,489069.1095,5455858.407
Mischief,2021,7,14,23,0,19XX W 1ST AVE,Kitsilano,489100.7228,5457559.182
Mischief,2021,4,3,22,30,19XX W 2ND AVE,Kitsilano,489128.9856,5457460.59
Mischief,2021,5,9,22,0,19XX W 36TH AVE,Shaughnessy,489010.9755,5454053.888
Mischief,2021,2,9,18,45,19XX W 3RD AVE,Kitsilano,489183.5893,5457371.258
Mischief,2021,3,28,18,0,19XX W 42ND AVE,Kerrisdale,489022.142,5453420.087
Mischief,2021,8,19,12,0,19XX W 54TH AVE,Kerrisdale,488856.1723,5452116.684
Mischief,2021,4,3,0,6,19XX W 5TH AVE,Kitsilano,489101.475,5457167.509
Mischief,2021,9,23,11,45,19XX W 6TH AVE,Kitsilano,489204.7114,5457070.813
Mischief,2021,10,9,17,30,19XX W 8TH AVE,Kitsilano,489139.7494,5456896.138
Mischief,2021,1,29,14,0,19XX W BROADWAY AVE,Kitsilano,489110.548,5456793.619
Mischief,2021,7,27,7,0,19XX W BROADWAY AVE,Kitsilano,489162.8585,5456783.037
Mischief,2021,4,21,12,30,19XX W GEORGIA ST,Central Business District,490079.3981,5460209.675
Mischief,2021,1,6,19,29,19XX WOODLAND DR,Grandview-Woodland,494654.3177,5457222.205
Mischief,2021,11,28,8,50,19XX WYLIE ST,Mount Pleasant,491713.7029,5457284.131
Mischief,2021,9,15,2,45,1X E 3RD AVE,Mount Pleasant,492401.6709,5457282.093
Mischief,2021,2,14,7,38,1X E CORDOVA ST,Central Business District,492434.5427,5458850.341
Mischief,2021,11,29,17,37,1X E CORDOVA ST,Central Business District,492443.0033,5458848.833
Mischief,2021,1,23,22,21,1X E HASTINGS ST,Central Business District,492441.0951,5458743.482
Mischief,2021,5,5,13,44,1X KASLO ST,Hastings-Sunrise,496599.2103,5459103.735
Mischief,2021,4,15,9,0,1X W HASTINGS ST,Central Business District,492384.0441,5458764.739
Mischief,2021,1,16,14,48,1X W HASTINGS ST,Central Business District,492392.2253,5458762.427
Mischief,2021,7,3,3,20,1X W HASTINGS ST,Central Business District,492392.2253,5458762.427
Mischief,2021,8,15,6,15,1X WATER ST,Central Business District,492394.5419,5458980.163
Mischief,2021,9,15,21,1,1XX ABBOTT ST,Central Business District,492274.1283,5459061.331
Mischief,2021,11,20,16,54,1XX ABBOTT ST,Central Business District,492274.1283,5459061.331
Mischief,2021,7,22,18,30,1XX ALEXANDER ST,Central Business District,492580.9132,5459007.44
Mischief,2021,9,1,13,30,1XX AQUARIUS MEWS,Central Business District,491339.5316,5457904.985
Mischief,2021,11,15,0,0,1XX AQUARIUS MEWS,Central Business District,491339.5316,5457904.985
Mischief,2021,9,2,15,20,1XX AQUARIUS MEWS,Central Business District,491341.242,5457900.48
Mischief,2021,7,6,2,30,1XX COLUMBIA ST,Central Business District,492564.1056,5458955.489
Mischief,2021,5,15,14,44,1XX COMMERCIAL DR,Grandview-Woodland,494879.2709,5459002.415
Mischief,2021,12,16,1,40,1XX DAVIE ST,Central Business District,491263.0873,5457816.875
Mischief,2021,10,5,3,20,1XX DRAKE ST,Central Business District,491015.8034,5457857.017
Mischief,2021,12,17,18,0,1XX DRAKE ST,Central Business District,491077.2111,5457785.28
Mischief,2021,1,22,4,18,1XX DRAKE ST,Central Business District,491126.8091,5457748.248
Mischief,2021,4,5,13,0,1XX DRAKE ST,Central Business District,491161.169,5457700.609
Mischief,2021,4,25,3,22,1XX DRAKE ST,Central Business District,491161.169,5457700.609
Mischief,2021,3,12,6,21,1XX DUNLEVY AVE,Strathcona,493063.919,5458989.993
Mischief,2021,7,25,21,29,1XX DUNLEVY AVE,Strathcona,493063.919,5458989.993
Mischief,2021,7,26,9,1,1XX DUNLEVY AVE,Strathcona,493063.919,5458989.993
Mischief,2021,9,26,8,10,1XX DUNLEVY AVE,Strathcona,493063.919,5458989.993
Mischief,2021,10,23,16,15,1XX DUNLEVY AVE,Strathcona,493063.919,5458989.993
Mischief,2021,3,28,0,59,1XX DUNLEVY AVE,Strathcona,493064.1212,5458997.393
Mischief,2021,2,15,13,0,1XX DUNLEVY AVE,Strathcona,493074.1213,5459028.591
Mischief,2021,3,26,16,47,1XX DUNSMUIR ST,Central Business District,491956.975,5458580.567
Mischief,2021,6,21,16,40,1XX DUNSMUIR ST,Central Business District,491997.7011,5458515.12
Mischief,2021,11,21,22,30,1XX E 14TH AVE,Mount Pleasant,492567.9084,5456183.239
Mischief,2021,8,29,23,0,1XX E 16TH AVE,Riley Park,492560.8806,5455981.084
Mischief,2021,9,15,17,0,1XX E 19TH AVE,Riley Park,492655.2617,5455669.786
Mischief,2021,6,26,18,0,1XX E 1ST AVE,Mount Pleasant,492631.0321,5457495.792
Mischief,2021,4,30,11,0,1XX E 1ST AVE,Mount Pleasant,492631.7737,5457486.627
Mischief,2021,6,10,19,57,1XX E 1ST AVE,Mount Pleasant,492652.2863,5457486.136
Mischief,2021,12,6,15,19,1XX E 2ND AVE,Mount Pleasant,492534.6297,5457377.956
Mischief,2021,7,4,6,10,1XX E 2ND AVE,Mount Pleasant,492545.9878,5457398.583
Mischief,2021,11,2,14,45,1XX E 2ND AVE,Mount Pleasant,492545.9878,5457398.583
Mischief,2021,12,26,17,30,1XX E 2ND AVE,Mount Pleasant,492641.5675,5457373.801
Mischief,2021,9,17,22,0,1XX E 33RD AVE,Riley Park,492592.4191,5454193.075
Mischief,2021,2,4,16,0,1XX E 37TH AVE,Riley Park,492465.1522,5453836.012
Mischief,2021,1,1,0,0,1XX E 37TH AVE,Riley Park,492473.2994,5453835.767
Mischief,2021,1,19,11,0,1XX E 37TH AVE,Riley Park,492473.2994,5453835.767
Mischief,2021,2,8,4,27,1XX E 3RD AVE,Mount Pleasant,492541.0589,5457275.922
Mischief,2021,9,6,18,0,1XX E 3RD AVE,Mount Pleasant,492547.278,5457275.855
Mischief,2021,1,24,17,0,1XX E 49TH AVE,Sunset,492543.2233,5452551.824
Mischief,2021,9,1,0,52,1XX E 5TH AVE,Mount Pleasant,492539.8162,5457087.017
Mischief,2021,2,21,12,0,1XX E 64TH AVE,Sunset,492481.4727,5451080.839
Mischief,2021,7,25,0,30,1XX E 6TH AVE,Mount Pleasant,492539.0295,5456974.18
Mischief,2021,6,17,19,0,1XX E 6TH AVE,Mount Pleasant,492574.4284,5456973.182
Mischief,2021,6,17,20,30,1XX E 6TH AVE,Mount Pleasant,492574.4284,5456973.182
Mischief,2021,12,1,17,30,1XX E 8TH AVE,Mount Pleasant,492551.3084,5456782.855
Mischief,2021,5,13,21,0,1XX E 8TH AVE,Mount Pleasant,492581.8509,5456781.981
Mischief,2021,7,26,20,57,1XX E 8TH AVE,Mount Pleasant,492581.8509,5456781.981
Mischief,2021,11,16,16,56,1XX E BROADWAY AVE,Mount Pleasant,492572.0649,5456696.251
Mischief,2021,8,30,13,0,1XX E BROADWAY AVE,Mount Pleasant,492610.7541,5456694.637
Mischief,2021,9,24,10,15,1XX E BROADWAY AVE,Mount Pleasant,492610.7541,5456694.637
Mischief,2021,4,23,1,0,1XX E CORDOVA ST,Central Business District,492574.641,5458843.746
Mischief,2021,11,15,14,30,1XX E CORDOVA ST,Central Business District,492574.9601,5458852.884
Mischief,2021,1,13,0,0,1XX E CORDOVA ST,Central Business District,492580.5494,5458852.689
Mischief,2021,3,31,15,7,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.521
Mischief,2021,4,13,3,28,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.521
Mischief,2021,4,18,23,5,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.521
Mischief,2021,6,28,0,0,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.521
Mischief,2021,2,21,19,9,1XX E CORDOVA ST,Central Business District,492623.4698,5458851.19
Mischief,2021,4,18,7,20,1XX E CORDOVA ST,Central Business District,492633.5455,5458841.689
Mischief,2021,11,21,22,5,1XX E CORDOVA ST,Central Business District,492640.4755,5458841.446
Mischief,2021,2,2,23,28,1XX E CORDOVA ST,Central Business District,492640.7946,5458850.585
Mischief,2021,9,15,15,51,1XX E CORDOVA ST,Central Business District,492640.7946,5458850.585
Mischief,2021,2,8,11,0,1XX E CORDOVA ST,Central Business District,492661.2653,5458840.72
Mischief,2021,8,23,17,50,1XX E GEORGIA ST,Central Business District,492708.6744,5458434.442
Mischief,2021,5,18,17,56,1XX E GEORGIA ST,Central Business District,492742.3504,5458433.136
Mischief,2021,5,19,19,59,1XX E GEORGIA ST,Central Business District,492742.3504,5458433.136
Mischief,2021,6,10,15,47,1XX E GEORGIA ST,Central Business District,492742.3504,5458433.136
Mischief,2021,8,22,17,52,1XX E GEORGIA ST,Central Business District,492742.3504,5458433.136
Mischief,2021,8,22,19,20,1XX E GEORGIA ST,Central Business District,492742.3504,5458433.136
Mischief,2021,9,22,22,20,1XX E GEORGIA ST,Central Business District,492742.3504,5458433.136
Mischief,2021,11,1,0,10,1XX E GEORGIA ST,Central Business District,492742.3504,5458433.136
Mischief,2021,11,29,13,0,1XX E GEORGIA ST,Central Business District,492742.3504,5458433.136
Mischief,2021,1,17,23,18,1XX E HASTINGS ST,Central Business District,492566.4957,5458738.913
Mischief,2021,1,3,10,37,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.744
Mischief,2021,1,12,20,9,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.744
Mischief,2021,1,30,20,0,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.744
Mischief,2021,3,3,9,0,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.744
Mischief,2021,3,12,23,59,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.744
Mischief,2021,8,9,20,33,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.744
Mischief,2021,8,22,13,44,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.744
Mischief,2021,9,21,20,49,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.744
Mischief,2021,10,15,4,42,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.744
Mischief,2021,10,31,3,44,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.744
Mischief,2021,11,12,12,47,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.744
Mischief,2021,12,16,22,47,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.744
Mischief,2021,12,17,10,0,1XX E HASTINGS ST,Central Business District,492571.6489,5458738.744
Mischief,2021,4,25,16,10,1XX E HASTINGS ST,Central Business District,492575.3947,5458747.768
Mischief,2021,5,11,18,34,1XX E HASTINGS ST,Central Business District,492575.3947,5458747.768
Mischief,2021,8,31,8,5,1XX E HASTINGS ST,Central Business District,492581.1664,5458738.424
Mischief,2021,9,13,21,29,1XX E HASTINGS ST,Central Business District,492581.4708,5458747.563
Mischief,2021,12,3,8,38,1XX E HASTINGS ST,Central Business District,492581.4708,5458747.563
Mischief,2021,3,15,22,43,1XX E HASTINGS ST,Central Business District,492609.5029,5458737.482
Mischief,2021,7,3,1,8,1XX E HASTINGS ST,Central Business District,492628.8462,5458736.837
Mischief,2021,1,13,10,51,1XX E HASTINGS ST,Central Business District,492637.0331,5458736.565
Mischief,2021,1,21,18,48,1XX E HASTINGS ST,Central Business District,492637.0331,5458736.565
Mischief,2021,7,16,21,12,1XX E HASTINGS ST,Central Business District,492637.3376,5458745.704
Mischief,2021,4,28,4,56,1XX E HASTINGS ST,Central Business District,492643.517,5458736.348
Mischief,2021,2,3,2,0,1XX E HASTINGS ST,Central Business District,492643.9156,5458736.336
Mischief,2021,2,27,12,46,1XX E HASTINGS ST,Central Business District,492657.9852,5458745.016
Mischief,2021,6,14,5,0,1XX E HASTINGS ST,Central Business District,492671.7503,5458744.558
Mischief,2021,7,6,21,56,1XX E HASTINGS ST,Central Business District,492685.2108,5458734.96
Mischief,2021,1,3,20,25,1XX E HASTINGS ST,Central Business District,492688.9566,5458743.984
Mischief,2021,6,22,11,30,1XX E HASTINGS ST,Central Business District,492688.9566,5458743.984
Mischief,2021,11,5,19,35,1XX E HASTINGS ST,Central Business District,492691.5011,5458743.899
Mischief,2021,1,2,17,2,1XX E HASTINGS ST,Central Business District,492702.7217,5458743.526
Mischief,2021,6,18,13,24,1XX E HASTINGS ST,Central Business District,492702.7217,5458743.526
Mischief,2021,7,19,20,30,1XX E HASTINGS ST,Central Business District,492702.7217,5458743.526
Mischief,2021,7,31,18,8,1XX E HASTINGS ST,Central Business District,492711.8038,5458743.223
Mischief,2021,3,29,12,0,1XX E HASTINGS ST,Central Business District,492740.5756,5458742.264
Mischief,2021,12,27,8,5,1XX E HASTINGS ST,Central Business District,492748.5366,5458741.999
Mischief,2021,6,24,7,15,1XX E KING EDWARD AVE,Riley Park,492492.9471,5455115.407
Mischief,2021,2,7,9,55,1XX E PENDER ST,Central Business District,492571.0078,5458632.273
Mischief,2021,4,27,21,0,1XX E PENDER ST,Central Business District,492571.0078,5458632.273
Mischief,2021,8,23,5,45,1XX E PENDER ST,Central Business District,492571.0078,5458632.273
Mischief,2021,12,18,21,35,1XX E PENDER ST,Central Business District,492571.0078,5458632.273
Mischief,2021,11,23,9,33,1XX E PENDER ST,Central Business District,492574.7939,5458641.277
Mischief,2021,2,23,18,19,1XX E PENDER ST,Central Business District,492588.5265,5458640.747
Mischief,2021,12,23,9,26,1XX E PENDER ST,Central Business District,492635.2049,5458638.943
Mischief,2021,4,18,14,0,1XX E PENDER ST,Central Business District,492636.5908,5458638.89
Mischief,2021,9,4,0,0,1XX E PENDER ST,Central Business District,492636.5908,5458638.89
Mischief,2021,12,2,17,2,1XX E PENDER ST,Central Business District,492640.024,5458638.757
Mischief,2021,7,12,4,56,1XX E PENDER ST,Central Business District,492650.3235,5458638.36
Mischief,2021,4,10,12,0,1XX E PENDER ST,Central Business District,492670.5695,5458628.427
Mischief,2021,8,23,3,0,1XX E PENDER ST,Central Business District,492670.5695,5458628.427
Mischief,2021,9,5,7,29,1XX E PENDER ST,Central Business District,492678.795,5458637.26
Mischief,2021,5,14,14,28,1XX E PENDER ST,Central Business District,492694.9546,5458636.636
Mischief,2021,1,19,10,0,1XX E PENDER ST,Central Business District,492722.067,5458626.438
Mischief,2021,3,22,12,38,1XX E WATERFRONT RD,Central Business District,492593.6691,5459081.366
Mischief,2021,4,18,0,0,1XX E WATERFRONT RD,Central Business District,492593.6691,5459081.366
Mischief,2021,7,1,16,40,1XX E WATERFRONT RD,Central Business District,492593.6691,5459081.366
Mischief,2021,6,15,1,0,1XX E WATERFRONT RD,Central Business District,492593.8664,5459090.508
Mischief,2021,3,21,1,0,1XX KEEFER PL,Central Business District,492117.1624,5458563.981
Mischief,2021,4,29,15,55,1XX KEEFER PL,Central Business District,492119.1962,5458572.896
Mischief,2021,4,7,16,13,1XX KEEFER PL,Central Business District,492122.6441,5458572.11
Mischief,2021,9,12,20,14,1XX KEEFER PL,Central Business District,492123.7934,5458571.847
Mischief,2021,11,30,20,0,1XX KEEFER PL,Central Business District,492124.2018,5458571.754
Mischief,2021,3,26,2,39,1XX KEEFER PL,Central Business District,492124.9427,5458571.585
Mischief,2021,7,14,12,20,1XX KEEFER PL,Central Business District,492124.9427,5458571.585
Mischief,2021,5,19,21,54,1XX KEEFER PL,Central Business District,492167.7315,5458552.445
Mischief,2021,12,1,0,40,1XX KEEFER PL,Central Business District,492167.7315,5458552.445
Mischief,2021,7,4,8,25,1XX KEEFER ST,Central Business District,492637.8517,5458533.708
Mischief,2021,7,25,21,0,1XX KEEFER ST,Central Business District,492637.8517,5458533.708
Mischief,2021,8,26,16,48,1XX KEEFER ST,Central Business District,492637.8517,5458533.708
Mischief,2021,7,31,6,0,1XX KEEFER ST,Central Business District,492647.6846,5458534.654
